campaign_id,campaign_name,campaign_type,channel,target_countries,start_date,end_date,budget_eur,spend_eur,target_impressions,actual_impressions,target_clicks,actual_clicks,target_conversions,actual_conversions,campaign_message,discount_percentage,promotional_code,created_at,updated_at
CAMP_000013,Welcome Campaign April,customer_acquisition,in_store,"['FR', 'NL', 'BE', 'LU', 'DE']",2020-04-24,2020-05-03,35776.27,31008.36,6201671,5710157,620167,504683,27907,31955,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.916945,2025-10-14 13:00:07.916946
CAMP_000014,New Arrivals April,new_collection_launch,social_media,['LU'],2020-04-24,2020-05-01,4952.17,4645.25,546499,506302,8197,8960,204,238,New arrivals are here - be the first to shop!,0.0,,2025-10-14 13:00:07.916960,2025-10-14 13:00:07.916961
CAMP_000015,Welcome Campaign May,customer_acquisition,print,"['LU', 'BE', 'NL']",2020-05-10,2020-05-20,54147.06,53922.28,2696114,2498055,13480,10974,134,121,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.916977,2025-10-14 13:00:07.916977
CAMP_000016,Come Back Campaign May,retention,display_ads,"['BE', 'FR', 'DE']",2020-05-05,2020-05-14,29226.73,25461.56,3917162,3967642,31337,36991,470,536,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.916994,2025-10-14 13:00:07.916994
CAMP_000017,EuroStyle Brand Campaign 2020,brand_awareness,email,['FR'],2020-05-02,2020-05-13,1831.15,1790.59,895293,919434,40288,46733,1410,1420,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917009,2025-10-14 13:00:07.917009
CAMP_000018,EuroStyle Brand Campaign 2020,brand_awareness,radio,"['FR', 'DE', 'BE']",2020-05-24,2020-06-10,78679.43,67781.47,3765637,3444786,11296,10713,135,112,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917024,2025-10-14 13:00:07.917025
CAMP_000019,EuroStyle Brand Campaign 2020,brand_awareness,tv_commercial,"['FR', 'BE', 'LU', 'NL', 'DE']",2020-05-11,2020-05-22,348856.92,306936.12,12277444,12170913,24554,27310,196,168,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917040,2025-10-14 13:00:07.917040
CAMP_000020,Summer Style Event,seasonal_promotion,social_media,['BE'],2020-06-20,2020-07-13,4933.66,4599.82,541155,500194,8117,7627,202,184,Winter warmth - cozy up with 30% off outerwear!,19.5,STYLE51,2025-10-14 13:00:07.917057,2025-10-14 13:00:07.917057
CAMP_000021,Loyalty Rewards June,loyalty_program,email,"['LU', 'NL', 'DE']",2020-06-01,2020-06-15,5522.1,5534.34,2767171,2988454,124522,109932,4358,4008,Discover amazing loyalty program deals!,12.7,FRESH87,2025-10-14 13:00:07.917074,2025-10-14 13:00:07.917074
CAMP_000022,Come Back Campaign June,retention,radio,"['BE', 'LU']",2020-06-20,2020-07-04,55120.99,58180.07,3232226,3016681,9696,8141,116,113,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.917088,2025-10-14 13:00:07.917089
CAMP_000023,Come Back Campaign June,retention,email,['FR'],2020-06-06,2020-06-20,2918.42,2657.81,1328904,1444089,59800,48979,2093,2446,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.917103,2025-10-14 13:00:07.917103
CAMP_000024,Loyalty Rewards June,loyalty_program,social_media,['LU'],2020-06-17,2020-07-01,6206.83,6222.04,732004,765765,10980,8857,274,312,Discover amazing loyalty program deals!,14.8,NEW59,2025-10-14 13:00:07.917119,2025-10-14 13:00:07.917119
CAMP_000025,EuroStyle Brand Campaign 2020,brand_awareness,print,"['DE', 'NL', 'FR']",2020-07-06,2020-07-19,51706.62,49724.85,2486242,2421608,12431,13899,124,138,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917135,2025-10-14 13:00:07.917135
CAMP_000026,Flash Sale 10/08,flash_sale,radio,['NL'],2020-08-10,2020-08-11,20596.58,22168.15,1231563,1123016,3694,3500,44,34,24 hours only - up to 50% off everything!,46.6,SAVE97,2025-10-14 13:00:07.917152,2025-10-14 13:00:07.917152
CAMP_000027,Spring Style Event,seasonal_promotion,influencer,"['LU', 'NL']",2020-09-17,2020-10-13,18357.78,17585.36,1172357,1200181,29308,30007,644,737,Winter warmth - cozy up with 30% off outerwear!,27.3,SAVE89,2025-10-14 13:00:07.917170,2025-10-14 13:00:07.917170
CAMP_000028,Fall Style Event,seasonal_promotion,in_store,['DE'],2020-09-23,2020-10-19,7178.53,6580.44,1316088,1238329,131608,153273,5922,5176,Celebrate the season with 25% off selected items!,18.6,DEAL70,2025-10-14 13:00:07.917186,2025-10-14 13:00:07.917187
CAMP_000029,Flash Sale 21/09,flash_sale,display_ads,"['DE', 'LU', 'NL', 'BE', 'FR']",2020-09-21,2020-09-23,76301.53,71310.6,10970860,12012100,87766,98651,1316,1112,"Flash sale alert - limited time, unlimited style!",31.3,NEW33,2025-10-14 13:00:07.917204,2025-10-14 13:00:07.917204
CAMP_000030,Flash Sale 17/09,flash_sale,print,"['FR', 'NL']",2020-09-17,2020-09-19,26846.6,26125.26,1306263,1205232,6531,5461,65,53,"Flash sale alert - limited time, unlimited style!",36.0,NEW77,2025-10-14 13:00:07.917221,2025-10-14 13:00:07.917221
CAMP_000031,End of Season Clearance,clearance,outdoor,"['FR', 'DE']",2020-10-11,2020-11-07,66236.54,60637.77,2021259,1998062,2021,2350,10,9,Last chance to grab these styles at amazing prices!,53.5,STYLE85,2025-10-14 13:00:07.917238,2025-10-14 13:00:07.917239
CAMP_000032,Loyalty Rewards October,loyalty_program,tv_commercial,['LU'],2020-10-09,2020-10-28,61557.41,53304.26,2132170,2339491,4264,5088,34,27,Discover amazing loyalty program deals!,11.6,EURO53,2025-10-14 13:00:07.917254,2025-10-14 13:00:07.917255
CAMP_000033,Welcome Campaign October,customer_acquisition,google_ads,"['LU', 'FR', 'BE']",2020-10-20,2020-11-09,60362.52,52564.73,4380394,4314669,153313,177114,4292,3360,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.917270,2025-10-14 13:00:07.917270
CAMP_000034,Summer Style Event,seasonal_promotion,in_store,"['DE', 'FR']",2020-10-06,2020-10-30,9336.09,9176.07,1835213,1826452,183521,169874,8258,7278,Spring into style with our latest collection!,18.1,FRESH81,2025-10-14 13:00:07.917286,2025-10-14 13:00:07.917287
CAMP_000035,Loyalty Rewards November,loyalty_program,print,"['NL', 'DE', 'FR']",2020-11-07,2020-11-24,51130.73,45615.78,2280789,2204727,11403,11658,114,87,Discover amazing loyalty program deals!,21.0,NEW65,2025-10-14 13:00:07.917304,2025-10-14 13:00:07.917304
CAMP_000036,Fall Style Event,seasonal_promotion,email,"['FR', 'BE']",2020-11-02,2020-11-24,5597.32,5053.17,2526586,2629657,113696,128921,3979,3077,Celebrate the season with 25% off selected items!,28.9,EURO71,2025-10-14 13:00:07.917323,2025-10-14 13:00:07.917323
CAMP_000037,EuroStyle Brand Campaign 2020,brand_awareness,email,"['BE', 'NL']",2020-11-23,2020-12-07,3878.57,3732.41,1866205,1988183,83979,71224,2939,2551,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917338,2025-10-14 13:00:07.917338
CAMP_000038,EuroStyle Brand Campaign 2020,brand_awareness,display_ads,"['FR', 'LU']",2020-11-01,2020-11-11,34628.35,37815.19,5817721,5845901,46541,51568,698,711,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917353,2025-10-14 13:00:07.917353
CAMP_000039,Welcome Campaign December,customer_acquisition,email,['LU'],2020-12-22,2021-01-07,2360.16,2316.45,1158224,1119814,52120,59047,1824,2053,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.917368,2025-10-14 13:00:07.917369
CAMP_000040,Loyalty Rewards December,loyalty_program,outdoor,"['BE', 'NL', 'DE', 'FR', 'LU']",2020-12-17,2021-01-06,148918.75,134621.28,4487376,4377177,4487,4121,22,22,Discover amazing loyalty program deals!,16.8,FRESH82,2025-10-14 13:00:07.917385,2025-10-14 13:00:07.917386
CAMP_000041,EuroStyle Brand Campaign 2020,brand_awareness,radio,"['LU', 'DE', 'FR', 'NL', 'BE']",2020-12-10,2020-12-21,84008.76,85336.66,4740925,4288678,14222,14221,170,220,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917403,2025-10-14 13:00:07.917403
CAMP_000042,Flash Sale 24/12,flash_sale,social_media,"['FR', 'DE', 'NL', 'BE', 'LU']",2020-12-24,2020-12-25,22834.59,22858.68,2689256,2684578,40338,43042,1008,785,"Flash sale alert - limited time, unlimited style!",41.5,DEAL76,2025-10-14 13:00:07.917420,2025-10-14 13:00:07.917420
CAMP_000043,Fall Style Event,seasonal_promotion,print,"['DE', 'LU', 'BE', 'NL', 'FR']",2021-01-01,2021-01-16,94712.32,82910.82,4145541,4355710,20727,19116,207,252,Celebrate the season with 25% off selected items!,34.0,DEAL25,2025-10-14 13:00:07.917438,2025-10-14 13:00:07.917438
CAMP_000044,Come Back Campaign February,retention,print,['LU'],2021-02-10,2021-02-17,22143.64,22291.79,1114589,1170646,5572,5790,55,53,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.917454,2025-10-14 13:00:07.917454
CAMP_000045,Loyalty Rewards March,loyalty_program,tv_commercial,"['FR', 'NL', 'LU']",2021-03-26,2021-04-05,152489.86,136688.81,5467552,5010977,10935,12459,87,109,Discover amazing loyalty program deals!,18.7,FRESH99,2025-10-14 13:00:07.917471,2025-10-14 13:00:07.917471
CAMP_000046,Loyalty Rewards April,loyalty_program,tv_commercial,"['BE', 'NL', 'LU', 'DE', 'FR']",2021-04-15,2021-05-02,310812.1,305590.67,12223626,11398734,24447,26703,195,188,Discover amazing loyalty program deals!,22.7,SAVE97,2025-10-14 13:00:07.917488,2025-10-14 13:00:07.917489
CAMP_000047,Fall Style Event,seasonal_promotion,outdoor,['LU'],2021-04-27,2021-05-21,20764.45,19325.02,644167,704095,644,564,3,3,Celebrate the season with 25% off selected items!,34.8,FRESH83,2025-10-14 13:00:07.917504,2025-10-14 13:00:07.917505
CAMP_000048,EuroStyle Brand Campaign 2021,brand_awareness,display_ads,"['NL', 'DE']",2021-04-01,2021-04-16,31010.03,27159.67,4178410,4001659,33427,32037,501,481,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917519,2025-10-14 13:00:07.917520
CAMP_000049,Spring Style Event,seasonal_promotion,email,"['BE', 'FR']",2021-04-18,2021-05-13,5643.07,5088.35,2544173,2542235,114487,93899,4007,3828,Winter warmth - cozy up with 30% off outerwear!,18.3,SAVE52,2025-10-14 13:00:07.917536,2025-10-14 13:00:07.917536
CAMP_000050,EuroStyle Brand Campaign 2021,brand_awareness,outdoor,['DE'],2021-04-06,2021-04-19,20133.34,20855.48,695182,731510,695,789,3,3,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917551,2025-10-14 13:00:07.917551
CAMP_000051,New Arrivals May,new_collection_launch,email,"['DE', 'FR']",2021-05-18,2021-06-02,4832.27,5258.6,2629299,2732121,118318,109383,4141,3333,Introducing our latest collection - fashion forward!,0.0,,2025-10-14 13:00:07.917567,2025-10-14 13:00:07.917567
CAMP_000052,Come Back Campaign June,retention,tv_commercial,"['FR', 'LU']",2021-06-03,2021-06-17,145506.01,139188.53,5567541,5713333,11135,11940,89,91,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.917583,2025-10-14 13:00:07.917583
CAMP_000053,Come Back Campaign June,retention,google_ads,"['LU', 'BE', 'FR', 'NL', 'DE']",2021-06-16,2021-07-02,88002.87,91138.62,7594885,7075434,265820,285202,7442,6569,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.917598,2025-10-14 13:00:07.917599
CAMP_000054,Loyalty Rewards July,loyalty_program,radio,"['FR', 'DE', 'LU']",2021-07-25,2021-08-06,59869.86,61516.4,3417577,3285236,10252,9130,123,109,Discover amazing loyalty program deals!,19.1,STYLE24,2025-10-14 13:00:07.917616,2025-10-14 13:00:07.917616
CAMP_000055,EuroStyle Brand Campaign 2021,brand_awareness,radio,"['DE', 'FR', 'NL']",2021-07-28,2021-08-14,61727.97,67648.22,3758234,3479808,11274,13361,135,136,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917631,2025-10-14 13:00:07.917631
CAMP_000056,Welcome Campaign August,customer_acquisition,display_ads,"['BE', 'NL', 'LU']",2021-08-03,2021-08-21,49268.25,48600.66,7477024,7700423,59816,61917,897,1083,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.917647,2025-10-14 13:00:07.917647
CAMP_000057,Welcome Campaign August,customer_acquisition,email,['NL'],2021-08-18,2021-08-28,2314.06,2033.34,1016672,1069443,45750,42926,1601,1517,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.917661,2025-10-14 13:00:07.917662
CAMP_000058,Flash Sale 03/08,flash_sale,in_store,"['DE', 'FR', 'NL']",2021-08-03,2021-08-05,15343.77,15670.32,3134063,2843707,313406,260167,14103,14705,Quick! Don't miss out on these incredible deals!,48.3,EURO23,2025-10-14 13:00:07.917678,2025-10-14 13:00:07.917678
CAMP_000059,New Arrivals September,new_collection_launch,influencer,['BE'],2021-09-06,2021-09-14,8071.19,8094.96,539663,541787,13491,11765,296,219,New arrivals are here - be the first to shop!,0.0,,2025-10-14 13:00:07.917694,2025-10-14 13:00:07.917694
CAMP_000060,Come Back Campaign October,retention,display_ads,"['NL', 'LU', 'BE']",2021-10-22,2021-10-29,45023.71,41233.79,6343659,5776860,50749,48853,761,762,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.917710,2025-10-14 13:00:07.917710
CAMP_000061,End of Season Clearance,clearance,google_ads,"['FR', 'BE']",2021-10-22,2021-11-16,37486.52,35034.59,2919548,2702773,102184,92244,2861,2756,Last chance to grab these styles at amazing prices!,58.2,SAVE27,2025-10-14 13:00:07.917726,2025-10-14 13:00:07.917726
CAMP_000062,Loyalty Rewards October,loyalty_program,outdoor,"['NL', 'BE']",2021-10-19,2021-10-26,57042.13,55074.91,1835830,1917365,1835,1588,9,10,Discover amazing loyalty program deals!,16.7,DEAL12,2025-10-14 13:00:07.917742,2025-10-14 13:00:07.917742
CAMP_000063,Loyalty Rewards October,loyalty_program,tv_commercial,"['FR', 'DE', 'LU', 'NL', 'BE']",2021-10-26,2021-11-14,362110.12,367773.56,14710942,13373955,29421,31566,235,184,Discover amazing loyalty program deals!,10.6,STYLE61,2025-10-14 13:00:07.917759,2025-10-14 13:00:07.917759
CAMP_000064,Flash Sale 16/11,flash_sale,print,"['FR', 'NL', 'LU']",2021-11-16,2021-11-17,62388.27,62188.36,3109418,3209644,15547,14420,155,157,24 hours only - up to 50% off everything!,56.1,EURO14,2025-10-14 13:00:07.917777,2025-10-14 13:00:07.917777
CAMP_000065,EuroStyle Brand Campaign 2021,brand_awareness,in_store,"['FR', 'NL', 'BE']",2021-11-13,2021-12-02,21455.55,18446.86,3689372,3682962,368937,302274,16602,19410,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.917792,2025-10-14 13:00:07.917792
CAMP_000066,New Arrivals December,new_collection_launch,outdoor,['FR'],2021-12-13,2021-12-28,31642.88,28120.24,937341,928354,937,758,4,3,"Fresh styles, endless possibilities - shop now!",0.0,,2025-10-14 13:00:07.917810,2025-10-14 13:00:07.917810
CAMP_000067,Flash Sale 26/12,flash_sale,in_store,"['BE', 'DE']",2021-12-26,2021-12-28,14629.79,13630.02,2726003,2795320,272600,307815,12267,9615,"Flash sale alert - limited time, unlimited style!",50.0,NEW14,2025-10-14 13:00:07.917826,2025-10-14 13:00:07.917826
CAMP_000068,Loyalty Rewards January,loyalty_program,print,['FR'],2022-01-08,2022-01-27,20078.95,19449.11,972455,1029205,4862,4177,48,36,Discover amazing loyalty program deals!,16.7,STYLE32,2025-10-14 13:00:07.917843,2025-10-14 13:00:07.917843
CAMP_000069,End of Season Clearance,clearance,print,"['BE', 'LU', 'DE', 'FR', 'NL']",2022-01-08,2022-01-22,66818.35,63948.74,3197437,3293348,15987,13452,159,164,End of season clearance - up to 70% off!,46.6,FRESH52,2025-10-14 13:00:07.917860,2025-10-14 13:00:07.917860
CAMP_000070,Welcome Campaign January,customer_acquisition,google_ads,"['BE', 'NL', 'LU']",2022-01-20,2022-01-31,38745.0,33010.43,2750869,2837085,96280,84639,2695,2475,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.917875,2025-10-14 13:00:07.917875
CAMP_000071,Come Back Campaign March,retention,email,['DE'],2022-03-01,2022-03-15,1756.13,1683.47,841737,889841,37878,35189,1325,1628,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.917891,2025-10-14 13:00:07.917891
CAMP_000072,New Arrivals February,new_collection_launch,in_store,"['BE', 'DE']",2022-02-05,2022-02-20,14804.91,12769.69,2553937,2749277,255393,292943,11492,12958,Introducing our latest collection - fashion forward!,0.0,,2025-10-14 13:00:07.917906,2025-10-14 13:00:07.917906
CAMP_000073,End of Season Clearance,clearance,google_ads,"['FR', 'NL', 'DE']",2022-02-17,2022-03-16,43076.94,46746.97,3895581,4128925,136345,136630,3817,3056,Last chance to grab these styles at amazing prices!,54.3,NEW84,2025-10-14 13:00:07.917922,2025-10-14 13:00:07.917922
CAMP_000074,Come Back Campaign February,retention,email,"['FR', 'BE', 'DE']",2022-02-25,2022-03-07,8230.41,7497.34,3748670,3451520,168690,147070,5904,7288,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.917937,2025-10-14 13:00:07.917937
CAMP_000075,New Arrivals March,new_collection_launch,display_ads,['LU'],2022-03-03,2022-03-22,13521.06,12183.04,1874314,1693588,14994,12120,224,172,Introducing our latest collection - fashion forward!,0.0,,2025-10-14 13:00:07.917952,2025-10-14 13:00:07.917953
CAMP_000076,Welcome Campaign April,customer_acquisition,influencer,['LU'],2022-04-17,2022-05-04,11476.99,12305.11,820340,753681,20508,22519,451,335,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.917968,2025-10-14 13:00:07.917968
CAMP_000077,Flash Sale 22/05,flash_sale,radio,['FR'],2022-05-22,2022-05-25,26695.24,28295.26,1571958,1434955,4715,5421,56,64,"Flash sale alert - limited time, unlimited style!",47.9,STYLE42,2025-10-14 13:00:07.917985,2025-10-14 13:00:07.917986
CAMP_000078,Come Back Campaign June,retention,social_media,"['FR', 'BE', 'NL', 'DE', 'LU']",2022-06-02,2022-06-22,28946.91,30182.56,3550889,3337929,53263,55552,1331,1513,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.918003,2025-10-14 13:00:07.918003
CAMP_000079,Loyalty Rewards June,loyalty_program,social_media,['NL'],2022-06-16,2022-07-05,7081.91,6064.8,713505,731456,10702,9266,267,221,Discover amazing loyalty program deals!,15.0,NEW75,2025-10-14 13:00:07.918018,2025-10-14 13:00:07.918018
CAMP_000080,Welcome Campaign June,customer_acquisition,in_store,"['BE', 'DE', 'FR', 'NL', 'LU']",2022-06-25,2022-07-06,24577.41,21236.33,4247266,4235042,424726,454352,19112,13463,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.918034,2025-10-14 13:00:07.918034
CAMP_000081,End of Season Clearance,clearance,email,['NL'],2022-06-25,2022-07-23,1699.68,1694.23,847114,883211,38120,37001,1334,1365,Last chance to grab these styles at amazing prices!,63.8,EURO41,2025-10-14 13:00:07.918050,2025-10-14 13:00:07.918050
CAMP_000082,New Arrivals July,new_collection_launch,social_media,"['FR', 'BE']",2022-07-28,2022-08-08,14600.33,13179.11,1550483,1687745,23257,26457,581,549,"Fresh styles, endless possibilities - shop now!",0.0,,2025-10-14 13:00:07.918066,2025-10-14 13:00:07.918066
CAMP_000083,Welcome Campaign July,customer_acquisition,tv_commercial,['NL'],2022-07-02,2022-07-23,63429.97,56802.47,2272098,2251093,4544,5192,36,33,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.918080,2025-10-14 13:00:07.918080
CAMP_000084,Welcome Campaign July,customer_acquisition,print,"['BE', 'DE', 'NL', 'LU', 'FR']",2022-07-02,2022-07-14,60331.04,59543.22,2977160,3193402,14885,14731,148,174,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.918095,2025-10-14 13:00:07.918096
CAMP_000085,Winter Style Event,seasonal_promotion,radio,"['BE', 'NL', 'LU', 'DE', 'FR']",2022-07-27,2022-08-11,117646.55,106024.45,5890247,5390900,17670,15197,212,231,Spring into style with our latest collection!,17.5,SAVE79,2025-10-14 13:00:07.918112,2025-10-14 13:00:07.918113
CAMP_000086,End of Season Clearance,clearance,google_ads,"['NL', 'BE', 'FR', 'LU', 'DE']",2022-07-19,2022-08-10,89363.1,78577.7,6548141,5948788,229184,232847,6417,6643,Clearance event - make room for new arrivals!,60.4,FRESH25,2025-10-14 13:00:07.918130,2025-10-14 13:00:07.918130
CAMP_000087,EuroStyle Brand Campaign 2022,brand_awareness,display_ads,"['LU', 'BE', 'DE']",2022-08-11,2022-09-01,46803.2,40761.9,6271061,6411308,50168,54512,752,717,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.918146,2025-10-14 13:00:07.918147
CAMP_000088,Flash Sale 18/08,flash_sale,in_store,['LU'],2022-08-18,2022-08-19,4771.97,4252.63,850526,896982,85052,101663,3827,4370,Quick! Don't miss out on these incredible deals!,50.2,DEAL63,2025-10-14 13:00:07.918162,2025-10-14 13:00:07.918163
CAMP_000089,Welcome Campaign August,customer_acquisition,tv_commercial,"['FR', 'LU', 'BE', 'NL', 'DE']",2022-08-03,2022-08-18,326045.16,346388.22,13855528,13951472,27711,24212,221,209,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.918178,2025-10-14 13:00:07.918178
CAMP_000090,Loyalty Rewards August,loyalty_program,in_store,"['DE', 'NL']",2022-08-04,2022-08-20,8958.04,8548.76,1709751,1870667,170975,150016,7693,8827,Discover amazing loyalty program deals!,18.1,DEAL19,2025-10-14 13:00:07.918193,2025-10-14 13:00:07.918194
CAMP_000091,Come Back Campaign September,retention,google_ads,"['BE', 'DE', 'NL', 'FR', 'LU']",2022-09-29,2022-10-18,62628.69,53245.99,4437165,4646967,155300,163357,4348,3939,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.918213,2025-10-14 13:00:07.918213
CAMP_000092,Summer Style Event,seasonal_promotion,google_ads,['NL'],2022-09-05,2022-09-19,20326.95,18291.99,1524332,1422522,53351,60918,1493,1113,Spring into style with our latest collection!,20.6,SAVE41,2025-10-14 13:00:07.918228,2025-10-14 13:00:07.918229
CAMP_000093,Loyalty Rewards October,loyalty_program,google_ads,"['LU', 'FR', 'NL', 'DE', 'BE']",2022-10-12,2022-10-28,95873.62,99930.67,8327555,8101336,291464,283226,8160,8822,Discover amazing loyalty program deals!,17.9,DEAL78,2025-10-14 13:00:07.918246,2025-10-14 13:00:07.918246
CAMP_000094,Winter Style Event,seasonal_promotion,in_store,"['FR', 'LU']",2022-10-15,2022-11-06,14072.08,15237.25,3047449,2897662,304744,363734,13713,16897,Celebrate the season with 25% off selected items!,25.1,NEW56,2025-10-14 13:00:07.918263,2025-10-14 13:00:07.918263
CAMP_000095,Welcome Campaign October,customer_acquisition,social_media,"['BE', 'DE']",2022-10-03,2022-10-13,14624.42,12598.16,1482137,1540715,22232,19207,555,415,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.918277,2025-10-14 13:00:07.918277
CAMP_000096,Welcome Campaign October,customer_acquisition,print,"['DE', 'FR', 'BE']",2022-10-19,2022-11-06,63863.08,57746.7,2887334,2670180,14436,13539,144,139,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.918292,2025-10-14 13:00:07.918292
CAMP_000097,Summer Style Event,seasonal_promotion,google_ads,['LU'],2022-11-07,2022-11-30,16184.85,16979.72,1414976,1351031,49524,49952,1386,1623,Spring into style with our latest collection!,22.1,NEW96,2025-10-14 13:00:07.918309,2025-10-14 13:00:07.918310
