store_id,store_name,country_code,city,address,postal_code,latitude,longitude,store_format,floor_area_sqm,opening_date,manager_name,staff_count,operating_hours,performance_tier,target_monthly_revenue,has_fitting_rooms,has_personal_styling,has_click_and_collect,wheelchair_accessible,is_active,created_at,updated_at
STORE_DE_032,EuroStyle Cologne 2,DE,Cologne,Fashion Street 2,25062,49.99374920366546,4.997136597051472,standard,444,2019-02-02,Conrad Scholz-Hauffer,15,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,58801,True,False,True,True,True,2025-10-14 13:00:06.601987,2025-10-14 13:00:06.601989
STORE_DE_033,EuroStyle Frankfurt,DE,Frankfurt,Main Street 1,78663,49.999703589868524,4.991286396924783,standard,492,2020-06-07,Wieland Weller,15,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,68501,True,False,True,True,True,2025-10-14 13:00:06.656350,2025-10-14 13:00:06.656353
STORE_DE_034,EuroStyle Stuttgart,DE,Stuttgart,Main Street 1,39701,50.0061501922756,4.9996629798592105,standard,494,2022-11-12,Prof. Gotthard Sorgatz,12,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,71835,True,False,True,True,True,2025-10-14 13:00:06.710961,2025-10-14 13:00:06.710963
STORE_DE_035,EuroStyle Düsseldorf,DE,Düsseldorf,Main Street 1,79244,50.00504700031293,4.99369735658323,standard,474,2021-09-15,Christos Gutknecht,13,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,46183,True,False,True,True,True,2025-10-14 13:00:06.767809,2025-10-14 13:00:06.767812
STORE_FR_036,EuroStyle Paris Flagship,FR,Paris,Champs-Élysées 123,79966,48.86657328216794,2.3598188376718148,flagship,890,2021-10-21,Véronique Le Da Silva,25,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",A,94716,True,True,True,True,True,2025-10-14 13:00:06.828077,2025-10-14 13:00:06.828080
STORE_FR_037,EuroStyle Paris Flagship,FR,Paris,Rue de Rivoli 89,75899,48.85718017274711,2.3435661832729013,flagship,745,2022-04-19,Marguerite Pons,17,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",A,104846,True,True,True,True,True,2025-10-14 13:00:06.885526,2025-10-14 13:00:06.885528
STORE_FR_038,EuroStyle Paris 3,FR,Paris,Boulevard Saint-Germain 45,81012,48.85446541589624,2.3433004171963554,standard,484,2022-10-10,Madeleine Vincent,13,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,56942,True,False,True,False,True,2025-10-14 13:00:06.943166,2025-10-14 13:00:06.943168
STORE_FR_039,EuroStyle Paris 4,FR,Paris,Marais District 12,76645,48.8530372151356,2.347028057252566,standard,500,2023-07-21,Luce-Jeanne Dijoux,9,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,48475,True,False,True,True,True,2025-10-14 13:00:07.000625,2025-10-14 13:00:07.000626
STORE_FR_040,EuroStyle Lyon 1,FR,Lyon,Rue de la République 56,89783,45.76561931847804,4.835700871883442,standard,468,2020-05-15,Émile-Rémy Guillou,12,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,73149,True,False,True,True,True,2025-10-14 13:00:07.059389,2025-10-14 13:00:07.059390
STORE_FR_041,EuroStyle Lyon Outlet,FR,Lyon,Part-Dieu 23,90147,45.7661832242837,4.845688931462086,outlet,558,2023-12-18,Martin Dumont de la Louis,9,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,51195,True,False,False,False,True,2025-10-14 13:00:07.116661,2025-10-14 13:00:07.116663
STORE_FR_042,EuroStyle Marseille,FR,Marseille,Main Street 1,86406,50.00626089313091,4.999922688289358,standard,469,2022-03-02,Émile Leleu Le Dufour,10,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,65316,True,False,True,False,True,2025-10-14 13:00:07.173170,2025-10-14 13:00:07.173171
STORE_FR_043,EuroStyle Nice,FR,Nice,Main Street 1,92166,50.00967073828167,4.998272396862277,standard,418,2021-04-26,Claude Clerc-Mathieu,11,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,71664,True,False,True,True,True,2025-10-14 13:00:07.230744,2025-10-14 13:00:07.230745
STORE_FR_044,EuroStyle Toulouse,FR,Toulouse,Main Street 1,85211,50.00769584100237,4.992077270147671,standard,459,2020-04-25,Virginie Bègue,10,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,56081,True,False,True,True,True,2025-10-14 13:00:07.289367,2025-10-14 13:00:07.289368
STORE_FR_045,EuroStyle Bordeaux,FR,Bordeaux,Main Street 1,88997,50.00700251377053,5.007110818200889,standard,483,2023-09-24,Isabelle de Maillot,11,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,54329,True,False,True,False,True,2025-10-14 13:00:07.348852,2025-10-14 13:00:07.348854
STORE_LU_046,EuroStyle Luxembourg City 1,LU,Luxembourg City,Grand Rue 34,L-2007,49.60275408115386,6.122803201551907,standard,437,2021-06-09,Miss Catherine Mason,11,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,73644,True,False,True,True,True,2025-10-14 13:00:07.406319,2025-10-14 13:00:07.406321
STORE_LU_047,EuroStyle Luxembourg City Pop-up,LU,Luxembourg City,Avenue de la Liberté 78,L-6355,49.61552239106939,6.135723140521947,popup,164,2020-03-20,Charlotte Blake,4,Thu-Sun 11:00-19:00,C,29130,False,False,False,False,True,2025-10-14 13:00:07.464756,2025-10-14 13:00:07.464757
